,churned1,CLIENTNUM,Months_on_book,Gender,Card_Category,Income_Category,Customer_Age,Marital_Status,Credit_Limit
21,1,708508758,49,F,Blue,Less than $40K,62,Married,1438.3
23,1,811604133,36,F,Blue,Less than $40K,47,Single,2492.0
24,1,789124683,42,M,Blue,$80K - $120K,54,Married,12217.0
37,1,785432733,36,F,Gold,Less than $40K,42,Married,15433.0
40,1,827111283,41,M,Blue,$80K - $120K,45,Single,32426.0
51,1,779471883,40,F,Blue,Less than $40K,54,Married,1438.3
54,1,714374133,36,M,Blue,$120K +,56,Married,15769.0
61,1,712030833,35,M,Silver,$60K - $80K,48,Married,34516.0
63,1,710082708,32,M,Blue,$120K +,44,Single,23957.0
71,1,720096558,42,F,Blue,Less than $40K,55,Married,2216.0
82,1,711013983,45,F,Blue,$40K - $60K,55,Married,2158.0
87,1,711743883,35,F,Blue,Less than $40K,43,Single,4026.0
90,1,717539808,36,F,Blue,Less than $40K,51,Single,9930.0
92,1,714107958,36,M,Blue,$40K - $60K,45,Single,6576.0
96,1,772629333,35,M,Blue,$40K - $60K,45,Married,3454.0
99,1,711887583,37,M,Blue,$80K - $120K,47,Married,5449.0
105,1,716657058,33,F,Blue,Less than $40K,43,Married,8358.0
118,1,721074183,36,M,Blue,$60K - $80K,49,Married,24159.0
120,1,718414008,36,M,Blue,$120K +,50,Single,34516.0
125,1,711318033,36,M,Blue,$60K - $80K,47,Single,2926.0
127,1,720201033,41,M,Blue,$80K - $120K,53,Married,11669.0
140,1,789322833,38,F,Blue,Less than $40K,48,Married,8025.0
143,1,718744008,36,F,Blue,Less than $40K,59,Single,6335.0
144,1,767712558,53,M,Blue,$60K - $80K,59,Single,14979.0
145,1,712950783,38,F,Blue,Less than $40K,48,Married,2732.0
152,1,712215258,31,F,Silver,$40K - $60K,50,Single,18386.0
155,1,713786508,36,F,Blue,$40K - $60K,42,Married,2038.0
163,1,714791208,41,F,Blue,Less than $40K,47,Divorced,3482.0
172,1,708953883,36,M,Blue,$80K - $120K,53,Married,3212.0
179,1,710829108,36,F,Blue,$40K - $60K,59,Married,3356.0
195,1,720476733,34,F,Blue,Less than $40K,47,Married,6028.0
198,1,708868233,52,M,Blue,Less than $40K,68,Married,1438.3
206,1,719808558,43,F,Blue,Less than $40K,55,Married,1438.3
207,1,711551958,46,M,Blue,$60K - $80K,59,Married,1438.3
215,1,713837058,36,M,Blue,Less than $40K,48,Single,2571.0
226,1,769425858,32,M,Blue,$60K - $80K,45,Single,1438.3
229,1,758348808,44,M,Blue,$120K +,51,Married,34516.0
230,1,772336458,50,F,Blue,$40K - $60K,60,Married,1438.3
236,1,720997383,36,M,Blue,$80K - $120K,52,Married,1857.0
242,1,821797008,45,M,Blue,$40K - $60K,49,Married,1438.3
243,1,708874533,36,F,Blue,Less than $40K,45,Married,3387.0
247,1,712125258,30,M,Blue,$120K +,46,Married,2442.0
253,1,772390908,48,M,Blue,$40K - $60K,59,Single,3616.0
254,1,787348608,56,M,Blue,Less than $40K,70,Married,3252.0
261,1,778867533,40,F,Blue,$40K - $60K,59,Married,1438.3
268,1,771809733,53,F,Blue,$40K - $60K,64,Married,3353.0
276,1,719211558,36,M,Blue,$60K - $80K,45,Single,3401.0
286,1,720272958,36,M,Blue,$120K +,48,Married,27126.0
290,1,715120608,37,M,Blue,$60K - $80K,44,Single,14546.0
299,1,754897008,39,M,Blue,$40K - $60K,46,Single,9432.0
308,1,721425558,37,M,Blue,$120K +,52,Single,14543.0
314,1,708330858,38,M,Blue,$120K +,57,Married,8249.0
321,1,789270033,37,M,Silver,$80K - $120K,48,Single,34516.0
330,1,770590758,29,F,Blue,$40K - $60K,43,Single,3378.0
343,1,714871683,36,M,Blue,$40K - $60K,58,Married,1438.3
345,1,716984658,39,M,Blue,$120K +,49,Married,34516.0
364,1,716568708,36,F,Blue,Less than $40K,47,Married,2726.0
365,1,828281733,39,M,Blue,$120K +,43,Married,14881.0
370,1,719091333,36,M,Blue,$60K - $80K,52,Married,22720.0
379,1,716455683,36,F,Gold,Less than $40K,40,Single,15534.0
401,1,717354558,40,M,Blue,$120K +,57,Married,3106.0
406,1,714639783,34,M,Blue,$60K - $80K,42,Married,13450.0
419,1,753606108,49,M,Blue,$60K - $80K,56,Single,1438.3
420,1,710940183,38,F,Blue,Less than $40K,49,Married,2185.0
425,1,790099758,33,M,Blue,$40K - $60K,40,Married,6884.0
428,1,713134458,43,M,Blue,$120K +,54,Married,13219.0
429,1,712159083,46,F,Blue,Less than $40K,58,Married,2536.0
445,1,767695083,44,M,Blue,$80K - $120K,50,Married,4589.0
446,1,711791583,40,F,Blue,Less than $40K,52,Single,2317.0
450,1,718349058,39,M,Blue,$80K - $120K,49,Married,29659.0
451,1,789842283,42,M,Blue,$60K - $80K,54,Married,4320.0
452,1,714513033,36,F,Blue,$40K - $60K,39,Single,11213.0
455,1,719418933,36,M,Blue,$80K - $120K,53,Married,4503.0
473,1,767294658,50,M,Blue,$120K +,56,Single,16867.0
475,1,708241233,47,F,Blue,Less than $40K,52,Single,2972.0
482,1,715878183,35,M,Blue,$80K - $120K,46,Single,18325.0
489,1,718768158,48,M,Blue,$40K - $60K,57,Single,3539.0
510,1,713217858,32,F,Blue,Less than $40K,38,Single,2264.0
522,1,779610033,47,M,Blue,$80K - $120K,58,Married,12151.0
537,1,721417233,25,M,Blue,$60K - $80K,45,Married,1438.3
544,1,709103358,36,F,Blue,Less than $40K,39,Single,9476.0
548,1,769137108,37,F,Blue,Less than $40K,43,Married,1438.3
549,1,717640083,36,M,Blue,$60K - $80K,59,Married,6705.0
559,1,794977533,56,M,Blue,$60K - $80K,62,Married,8077.0
564,1,752604633,50,M,Blue,$40K - $60K,57,Married,6462.0
568,1,711242058,36,M,Blue,$80K - $120K,48,Single,11862.0
575,1,721379433,28,M,Blue,$60K - $80K,44,Married,11338.0
580,1,718121658,44,M,Blue,$60K - $80K,56,Married,1704.0
581,1,711593808,46,M,Blue,$60K - $80K,55,Married,1438.3
583,1,718731183,49,M,Blue,$40K - $60K,61,Married,5472.0
593,1,713865333,38,F,Blue,Less than $40K,45,Married,4908.0
594,1,797707008,38,F,Blue,Less than $40K,44,Married,7222.0
596,1,720370533,44,M,Blue,$60K - $80K,55,Married,2323.0
597,1,779743908,29,M,Blue,$60K - $80K,44,Divorced,7788.0
598,1,718675158,36,F,Blue,Less than $40K,55,Married,1438.3
604,1,720605808,36,F,Blue,Less than $40K,53,Single,1438.3
606,1,711028308,36,F,Blue,Less than $40K,44,Married,1717.0
613,1,714495258,36,M,Blue,Less than $40K,26,Single,1438.3
624,1,770724558,28,M,Blue,$60K - $80K,42,Married,7340.0
626,1,719309958,35,M,Blue,$80K - $120K,55,Single,20865.0
629,1,711757383,42,F,Blue,Less than $40K,50,Married,2240.0
645,1,716924058,49,F,Blue,$40K - $60K,58,Married,6175.0
649,1,718939083,45,F,Blue,Less than $40K,54,Married,1438.3
653,1,712979133,41,M,Blue,$80K - $120K,55,Married,27560.0
657,1,720071583,36,F,Blue,Less than $40K,48,Married,7151.0
659,1,812420358,56,F,Blue,Less than $40K,61,Married,2122.0
665,1,715884858,36,M,Blue,$80K - $120K,38,Married,2407.0
669,1,785114808,40,M,Silver,$40K - $60K,46,Single,15459.0
670,1,709852908,36,F,Blue,Less than $40K,44,Single,4307.0
673,1,827108583,51,M,Blue,$120K +,55,Single,34516.0
677,1,798792408,42,M,Blue,$80K - $120K,48,Married,9959.0
681,1,713943783,32,M,Blue,$60K - $80K,41,Married,18001.0
689,1,711204483,46,M,Blue,$60K - $80K,56,Married,2340.0
691,1,713945883,52,F,Blue,Less than $40K,62,Married,2490.0
717,1,789513858,35,M,Blue,$40K - $60K,43,Married,1438.3
718,1,778357458,24,F,Blue,Less than $40K,44,Single,2003.0
727,1,771963708,45,M,Blue,$60K - $80K,56,Married,12248.0
734,1,778506633,23,F,Blue,Less than $40K,43,Married,7706.0
740,1,721517208,30,M,Blue,Less than $40K,41,Married,2450.0
749,1,711668283,37,M,Blue,$80K - $120K,48,Married,30948.0
752,1,713530833,48,M,Blue,$40K - $60K,58,Married,4085.0
764,1,716991933,35,F,Blue,Less than $40K,53,Single,9786.0
771,1,715271733,37,F,Blue,Less than $40K,50,Single,8520.0
772,1,771706308,34,M,Blue,$80K - $120K,46,Single,14310.0
785,1,712373208,35,M,Blue,$60K - $80K,43,Single,3312.0
810,1,708455883,36,M,Blue,$80K - $120K,57,Single,10244.0
813,1,763895958,46,M,Blue,$120K +,53,Married,7474.0
816,1,711927108,36,M,Blue,$80K - $120K,54,Married,9457.0
822,1,793889508,42,F,Blue,$40K - $60K,48,Married,4076.0
834,1,711147483,28,F,Blue,Less than $40K,46,Single,8551.0
836,1,715168983,36,F,Blue,Less than $40K,47,Married,7051.0
844,1,712672083,36,F,Blue,Less than $40K,65,Married,1438.3
846,1,720990183,36,M,Blue,$60K - $80K,54,Married,14539.0
848,1,721250358,36,M,Blue,$40K - $60K,50,Married,5426.0
866,1,711809283,36,M,Blue,Less than $40K,31,Married,1868.0
872,1,714472608,49,M,Blue,Less than $40K,59,Married,4250.0
880,1,816600933,51,M,Blue,$80K - $120K,56,Married,14501.0
881,1,714208533,36,M,Blue,$60K - $80K,43,Married,8663.0
901,1,712523283,41,M,Blue,$120K +,55,Married,14938.0
903,1,708134283,36,M,Blue,Less than $40K,35,Married,3131.0
905,1,708983658,39,M,Blue,$120K +,51,Single,16868.0
921,1,778663458,47,M,Blue,Less than $40K,65,Married,1759.0
922,1,716024808,36,M,Blue,$80K - $120K,57,Married,4829.0
924,1,794831733,39,F,Blue,Less than $40K,45,Married,2156.0
935,1,721249158,30,M,Blue,$60K - $80K,42,Single,6414.0
958,1,721051908,33,M,Blue,$60K - $80K,45,Single,7552.0
1002,1,778706508,24,M,Blue,$60K - $80K,43,Married,6231.0
1005,1,772532208,41,F,Blue,Less than $40K,51,Married,6630.0
1006,1,778929783,22,M,Blue,$80K - $120K,40,Divorced,1925.0
1014,1,789886533,44,F,Blue,Less than $40K,54,Married,3947.0
1025,1,713053383,36,M,Blue,$80K - $120K,42,Married,34516.0
1036,1,803595858,51,F,Blue,$40K - $60K,56,Married,1438.3
1039,1,709465758,53,F,Blue,Less than $40K,62,Married,1438.3
1043,1,710754933,49,F,Blue,Less than $40K,61,Married,1438.3
1046,1,718362783,27,M,Blue,$80K - $120K,35,Married,12643.0
1048,1,708856983,27,M,Blue,$120K +,36,Married,13873.0
1066,1,721265883,13,M,Blue,Less than $40K,26,Single,2174.0
1074,1,717412608,28,F,Blue,$40K - $60K,38,Married,7225.0
1079,1,719392833,38,F,Blue,Less than $40K,45,Married,2400.0
1083,1,711999783,31,M,Blue,$80K - $120K,41,Married,4740.0
1090,1,720848733,24,M,Blue,$80K - $120K,38,Married,13363.0
1119,1,784798683,32,M,Blue,$40K - $60K,38,Married,1438.3
1120,1,710899833,18,M,Blue,$40K - $60K,36,Married,7758.0
1138,1,789198708,47,M,Blue,$120K +,58,Married,27088.0
1142,1,712207683,36,M,Blue,Less than $40K,38,Divorced,5155.0
1155,1,713693958,27,F,Blue,Less than $40K,38,Single,8638.0
1157,1,770769483,21,M,Blue,$40K - $60K,35,Married,2256.0
1161,1,779216358,38,M,Blue,$80K - $120K,48,Married,2111.0
1168,1,712924383,36,M,Blue,$60K - $80K,55,Single,8411.0
1171,1,715702758,36,F,Blue,Less than $40K,38,Married,1860.0
1175,1,713834358,25,F,Blue,Less than $40K,36,Married,4701.0
1184,1,783020958,33,M,Blue,$80K - $120K,39,Married,18582.0
1186,1,798110358,56,F,Blue,$40K - $60K,64,Married,1438.3
1192,1,718561458,36,M,Blue,$60K - $80K,54,Married,20050.0
1209,1,712072908,36,M,Blue,$80K - $120K,48,Single,2852.0
1217,1,778399008,30,M,Blue,$80K - $120K,50,Married,4252.0
1220,1,718726833,28,M,Blue,$80K - $120K,39,Married,3327.0
1239,1,719358333,28,M,Blue,$40K - $60K,36,Married,2157.0
1250,1,720445533,53,F,Blue,Less than $40K,60,Married,3346.0
1251,1,809951133,49,M,Blue,$120K +,54,Single,34516.0
1260,1,715074258,36,F,Blue,$40K - $60K,26,Single,3930.0
1269,1,751487358,32,F,Blue,Less than $40K,39,Married,3221.0
1270,1,712742808,29,F,Blue,Less than $40K,41,Married,3022.0
1272,1,794649858,39,F,Blue,Less than $40K,58,Married,2210.0
1282,1,788862333,23,F,Blue,Less than $40K,38,Married,5645.0
1284,1,793550958,41,F,Blue,Less than $40K,47,Married,1438.3
1295,1,789262683,49,M,Blue,$40K - $60K,60,Divorced,3012.0
1302,1,715973583,36,M,Blue,$120K +,56,Married,34516.0
1305,1,788210583,54,M,Blue,$40K - $60K,62,Married,1438.3
1307,1,786557358,38,F,Blue,Less than $40K,44,Married,3242.0
1308,1,768460908,53,M,Blue,$40K - $60K,59,Single,6035.0
1311,1,713206683,22,M,Silver,$80K - $120K,40,Single,34516.0
1328,1,778388358,36,M,Blue,$60K - $80K,56,Single,4742.0
1333,1,716522583,36,F,Blue,Less than $40K,48,Divorced,2335.0
1342,1,718136283,36,M,Blue,$80K - $120K,52,Single,22103.0
1343,1,778855383,17,F,Blue,Less than $40K,36,Married,1438.3
1344,1,779722308,30,F,Blue,$40K - $60K,45,Married,12355.0
1351,1,787515333,29,M,Blue,$80K - $120K,40,Married,3616.0
1357,1,772155108,51,F,Blue,Less than $40K,62,Married,1438.3
1358,1,798796233,31,F,Blue,$40K - $60K,37,Married,1586.0
1359,1,815472108,37,M,Blue,$40K - $60K,42,Single,2247.0
1384,1,709855608,36,F,Blue,Less than $40K,46,Married,1438.3
1394,1,711840408,55,M,Blue,Less than $40K,64,Married,2492.0
1406,1,708913233,28,M,Blue,$40K - $60K,37,Married,3601.0
1412,1,779138883,34,M,Blue,$60K - $80K,50,Married,4702.0
1416,1,711048783,29,M,Blue,$80K - $120K,41,Married,33405.0
1430,1,709707033,32,M,Blue,$60K - $80K,45,Single,13162.0
1446,1,721062408,34,M,Blue,$40K - $60K,54,Divorced,6387.0
1453,1,715543908,43,F,Blue,Less than $40K,52,Married,2147.0
1461,1,720666333,24,M,Blue,$120K +,36,Married,24577.0
1466,1,708927108,36,M,Blue,$120K +,53,Married,12778.0
1467,1,717831783,45,F,Blue,Less than $40K,58,Married,1942.0
1469,1,710813733,35,M,Silver,$60K - $80K,48,Married,33791.0
1477,1,711772008,22,F,Blue,Less than $40K,35,Single,1890.0
1501,1,780276258,39,M,Blue,$120K +,53,Married,13091.0
1508,1,719227233,36,F,Blue,Less than $40K,27,Single,1553.0
1513,1,710391258,36,M,Blue,$40K - $60K,27,Married,11473.0
1515,1,779696883,33,M,Blue,$60K - $80K,48,Divorced,2998.0
1518,1,772468983,26,M,Blue,$80K - $120K,36,Married,21927.0
1529,1,711006783,22,F,Blue,Less than $40K,38,Single,2484.0
1532,1,715216908,36,M,Blue,$80K - $120K,48,Single,18102.0
1541,1,713346558,37,M,Blue,$60K - $80K,45,Divorced,6784.0
1558,1,718418958,36,M,Blue,Less than $40K,30,Divorced,5061.0
1565,1,808292958,20,M,Blue,Less than $40K,26,Single,1438.3
1568,1,717385983,21,M,Blue,Less than $40K,30,Married,2490.0
1576,1,821179233,46,F,Blue,$40K - $60K,50,Single,1493.0
1580,1,771086208,44,F,Blue,Less than $40K,57,Married,6256.0
1582,1,813752433,38,F,Blue,Less than $40K,43,Single,4075.0
1612,1,758583708,24,F,Blue,Less than $40K,37,Single,2802.0
1613,1,717130383,36,M,Blue,$60K - $80K,50,Married,2334.0
1615,1,716797758,44,F,Blue,Less than $40K,53,Married,3519.0
1625,1,713536158,56,M,Blue,Less than $40K,65,Married,4189.0
1628,1,721003008,24,F,Blue,Less than $40K,36,Married,3261.0
1633,1,720668358,46,M,Blue,$40K - $60K,59,Single,1648.0
1634,1,778708533,13,F,Blue,$40K - $60K,26,Single,1730.0
1642,1,716529258,27,M,Blue,$80K - $120K,42,Married,31864.0
1645,1,717100833,27,F,Blue,Less than $40K,37,Married,3148.0
1649,1,720122808,35,M,Silver,$60K - $80K,52,Married,33180.0
1655,1,713259858,15,M,Blue,$40K - $60K,26,Single,3324.0
1665,1,716053083,21,M,Blue,$120K +,33,Married,27992.0
1668,1,772086408,27,M,Blue,$80K - $120K,38,Single,6162.0
1680,1,795237183,45,F,Blue,$40K - $60K,51,Married,5930.0
1682,1,709635858,45,F,Blue,Less than $40K,56,Married,2235.0
1693,1,709537683,30,M,Blue,$80K - $120K,37,Married,11638.0
1695,1,720241758,36,M,Blue,$80K - $120K,55,Married,8276.0
1707,1,790145733,33,M,Silver,$80K - $120K,40,Single,34516.0
1711,1,812788233,21,F,Blue,Less than $40K,31,Married,6315.0
1723,1,808681158,52,M,Blue,$80K - $120K,57,Married,2564.0
1731,1,713577483,35,M,Blue,$80K - $120K,47,Married,5589.0
1735,1,720231108,39,M,Blue,Less than $40K,57,Single,3451.0
1740,1,780078333,41,M,Blue,$60K - $80K,56,Married,5887.0
1742,1,719818983,28,M,Blue,$80K - $120K,39,Divorced,12464.0
1746,1,820288233,20,F,Blue,Less than $40K,26,Single,1438.3
1752,1,804668658,20,F,Blue,Less than $40K,26,Single,1438.3
1761,1,712757808,22,F,Blue,Less than $40K,33,Married,1544.0
1764,1,708741633,44,M,Blue,$60K - $80K,52,Married,4153.0
1767,1,787570758,26,M,Blue,$120K +,35,Married,2944.0
1782,1,712392108,36,M,Blue,$60K - $80K,51,Married,10305.0
1792,1,715760733,47,M,Blue,$40K - $60K,58,Married,7803.0
1794,1,720610008,50,M,Blue,$120K +,59,Married,15796.0
1798,1,813573333,55,M,Blue,Less than $40K,60,Married,2661.0
1809,1,717138558,16,M,Blue,$40K - $60K,28,Married,3665.0
1818,1,771028533,35,F,Silver,Less than $40K,48,Married,10357.0
1820,1,719854008,36,M,Blue,$40K - $60K,47,Single,5154.0
1827,1,819610908,33,M,Blue,$80K - $120K,38,Single,32938.0
1830,1,816013383,56,F,Blue,Less than $40K,65,Divorced,6184.0
1836,1,710844408,36,M,Blue,$60K - $80K,38,Married,2584.0
1852,1,721344858,13,M,Blue,Less than $40K,26,Single,2237.0
1857,1,713992158,36,F,Blue,Less than $40K,57,Married,2159.0
1860,1,785011383,30,F,Blue,$40K - $60K,36,Divorced,2190.0
1864,1,716382708,36,F,Blue,Less than $40K,46,Single,8309.0
1867,1,711224733,27,M,Blue,$120K +,32,Married,22382.0
1870,1,720673008,38,F,Blue,Less than $40K,49,Divorced,1652.0
1874,1,717648783,51,M,Blue,$80K - $120K,63,Married,6922.0
1876,1,819409608,34,F,Blue,Less than $40K,39,Married,2594.0
1878,1,791856033,39,M,Blue,$80K - $120K,45,Divorced,34516.0
1880,1,716448783,39,F,Blue,$40K - $60K,48,Married,6235.0
1887,1,804840033,38,M,Blue,$60K - $80K,45,Married,16611.0
1892,1,817686633,15,F,Blue,Less than $40K,26,Single,1438.3
1895,1,803132733,48,F,Blue,Less than $40K,54,Married,6814.0
1905,1,708892833,30,M,Blue,$120K +,37,Married,13662.0
1915,1,710251608,54,F,Blue,Less than $40K,62,Married,2941.0
1916,1,710633808,13,M,Blue,$60K - $80K,26,Single,7102.0
1917,1,719318583,26,M,Blue,Less than $40K,37,Married,6866.0
1918,1,819202533,52,M,Blue,$80K - $120K,57,Married,10378.0
1922,1,788965683,36,F,Blue,Less than $40K,49,Married,1438.3
1943,1,711782733,36,M,Blue,$40K - $60K,55,Married,3097.0
1953,1,711357858,36,F,Blue,Less than $40K,47,Single,7246.0
1959,1,719243808,20,F,Blue,Less than $40K,33,Married,3792.0
1960,1,772202058,53,M,Blue,Less than $40K,64,Married,2084.0
1968,1,711816108,29,M,Blue,$80K - $120K,40,Single,18563.0
1969,1,717105258,36,F,Blue,Less than $40K,37,Married,3992.0
1982,1,714151533,46,F,Blue,$40K - $60K,55,Married,4589.0
1999,1,789777408,15,F,Blue,Less than $40K,26,Single,1442.0
2005,1,718577958,26,M,Blue,$120K +,39,Married,8906.0
2007,1,789987183,45,M,Blue,$80K - $120K,53,Married,21953.0
2018,1,819258408,42,F,Blue,Less than $40K,47,Single,2224.0
2019,1,717664008,19,M,Blue,$60K - $80K,37,Married,3100.0
2023,1,716129208,36,M,Blue,$40K - $60K,37,Married,2031.0
2025,1,709839858,39,F,Blue,Less than $40K,58,Married,4608.0
2032,1,711562833,24,M,Blue,$80K - $120K,35,Married,12634.0
2040,1,713108433,40,M,Blue,$80K - $120K,53,Married,6052.0
2043,1,720181758,22,M,Blue,$120K +,37,Married,8654.0
2077,1,720427683,46,M,Blue,$120K +,58,Single,16163.0
2081,1,752085108,29,F,Blue,$40K - $60K,39,Married,4955.0
2088,1,712187808,15,M,Blue,$40K - $60K,27,Married,3682.0
2092,1,716647983,53,F,Blue,Less than $40K,58,Married,7712.0
2098,1,711692508,47,F,Blue,Less than $40K,54,Married,1438.3
2109,1,717930483,25,M,Blue,$120K +,37,Single,5616.0
2122,1,715651833,36,M,Blue,Less than $40K,65,Single,2351.0
2126,1,715517733,39,F,Silver,Less than $40K,46,Single,13092.0
2141,1,714770808,42,M,Blue,Less than $40K,59,Married,4328.0
2145,1,719273733,36,M,Blue,$60K - $80K,37,Married,7959.0
2154,1,715843533,36,M,Blue,$40K - $60K,26,Single,2703.0
2159,1,815845758,51,F,Blue,Less than $40K,56,Married,1438.3
2162,1,778693458,13,M,Blue,$60K - $80K,32,Divorced,12616.0
2170,1,714460683,56,M,Blue,Less than $40K,65,Married,3838.0
2174,1,712551258,36,M,Blue,Less than $40K,39,Married,4247.0
2182,1,711574008,21,M,Blue,$80K - $120K,32,Single,21390.0
2185,1,709564683,22,M,Blue,$40K - $60K,32,Married,4739.0
2186,1,772292358,19,M,Blue,Less than $40K,30,Divorced,7970.0
2196,1,718435158,40,M,Blue,$120K +,50,Married,34516.0
2214,1,813200058,56,M,Blue,$40K - $60K,63,Married,6500.0
2221,1,713104458,31,M,Blue,$40K - $60K,46,Single,7869.0
2223,1,715366083,36,F,Blue,Less than $40K,52,Single,1438.3
2228,1,716244033,33,M,Blue,$40K - $60K,44,Married,7266.0
2238,1,711734508,47,M,Blue,$80K - $120K,55,Married,9959.0
2264,1,713533983,48,M,Blue,$120K +,56,Married,2585.0
2265,1,787463508,13,M,Blue,Less than $40K,26,Single,2469.0
2271,1,778381608,28,M,Blue,$80K - $120K,48,Single,6572.0
2289,1,773082033,27,M,Blue,$80K - $120K,35,Married,25516.0
